Image Type,Quality,File Size (KB),File Size (bytes),Compression Ratio,MSE,SSIM
PNG,N/A,3013.41 KB,3085727 bytes,N/A,N/A,N/A
WebP,70,161.32 KB,165190 bytes,0.054,17.515,0.937
WebP,80,212.03 KB,217120 bytes,0.07,14.072,0.95
WebP,90,344.91 KB,353188 bytes,0.114,9.325,0.966
WebP,100,702.09 KB,718938 bytes,0.233,6.704,0.976
WebP,Lossless,2169.37 KB,2221434 bytes,0.72,0,1
AVIF,50,112.22 KB,114912 bytes,0.037,16.555,0.941
AVIF,60,164.76 KB,168716 bytes,0.055,12.46,0.955
AVIF,70,209.40 KB,214428 bytes,0.069,10.482,0.962
AVIF,80,269.46 KB,275932 bytes,0.089,8.809,0.967
AVIF,90,586.83 KB,600909 bytes,0.195,1.929,0.989
AVIF,100,1923.83 KB,1969998 bytes,0.638,0.328,0.998
AVIF,Lossless,1923.83 KB,1969998 bytes,0.638,0.328,0.998
