Image Type,Quality,File Size (KB),File Size (bytes),Compression Ratio,MSE,SSIM
PNG,N/A,1132.87 KB,1160062 bytes,N/A,N/A,N/A
WebP,70,506.14 KB,518284 bytes,0.447,10.029,0.963
WebP,80,666.10 KB,682088 bytes,0.588,7.069,0.973
WebP,90,1101.81 KB,1128256 bytes,0.973,3.073,0.986
WebP,100,2248.57 KB,2302538 bytes,1.985,2.063,0.989
WebP,Lossless,6251.64 KB,6401676 bytes,5.518,0.000,1.000
AVIF,50,365.08 KB,373843 bytes,0.322,8.556,0.971
AVIF,60,522.28 KB,534818 bytes,0.461,4.683,0.983
AVIF,70,616.11 KB,630899 bytes,0.544,3.015,0.988
AVIF,80,733.31 KB,750908 bytes,0.647,1.982,0.992
AVIF,90,1028.01 KB,1052681 bytes,0.907,0.516,0.997
AVIF,100,5420.01 KB,5550091 bytes,4.784,0.000,1.000
AVIF,Lossless,5420.01 KB,5550091 bytes,4.784,0.000,1.000
