Image Type,Quality,File Size (KB),File Size (bytes),Compression Ratio,MSE,SSIM
PNG,N/A,827.16 KB,847011 bytes,N/A,N/A,N/A
WebP,70,101.36 KB,103796 bytes,0.123,25.139,0.948
WebP,80,128.26 KB,131338 bytes,0.155,18.918,0.962
WebP,90,199.90 KB,204694 bytes,0.242,10.033,0.979
WebP,100,348.17 KB,356526 bytes,0.421,5.752,0.988
WebP,Lossless,883.41 KB,904608 bytes,1.068,0.000,1.000
AVIF,50,81.98 KB,83948 bytes,0.099,25.472,0.946
AVIF,60,115.73 KB,118510 bytes,0.14,17.027,0.964
AVIF,70,142.72 KB,146142 bytes,0.173,13.020,0.973
AVIF,80,176.78 KB,181025 bytes,0.214,9.861,0.979
AVIF,90,322.27 KB,330004 bytes,0.39,2.362,0.992
AVIF,100,767.77 KB,786194 bytes,0.928,0.000,1.000
AVIF,Lossless,767.77 KB,786194 bytes,0.928,0.000,1.000
