Image Type,Quality,File Size (KB),File Size (bytes),Compression Ratio,MSE,SSIM
PNG,N/A,166.84 KB,170846 bytes,N/A,N/A,N/A
WebP,70,92.34 KB,94556 bytes,0.553,8.708,0.980
WebP,80,109.00 KB,111618 bytes,0.653,7.129,0.984
WebP,90,144.01 KB,147462 bytes,0.863,5.616,0.988
WebP,100,211.52 KB,216596 bytes,1.268,4.795,0.991
WebP,Lossless,41.52 KB,42520 bytes,0.249,0.000,1.000
AVIF,50,37.37 KB,38267 bytes,0.224,5.918,0.987
AVIF,60,44.04 KB,45094 bytes,0.264,5.412,0.989
AVIF,70,48.96 KB,50131 bytes,0.293,5.219,0.990
AVIF,80,56.46 KB,57816 bytes,0.338,5.073,0.990
AVIF,90,100.50 KB,102907 bytes,0.602,0.410,1.000
AVIF,100,159.44 KB,163267 bytes,0.956,0.095,1.000
AVIF,Lossless,159.44 KB,163267 bytes,0.956,0.095,1.000
